image,is_tagged
cordoba10_0,False
cordoba10_1,False
cordoba10_2,True
cordoba10_3,True
cordoba10_4,False
cordoba10_5,False
cordoba10_6,False
cordoba10_7,False
cordoba10_8,False
cordoba11_1,False
cordoba11_3,False
cordoba11_4,False
cordoba12_0,False
cordoba12_3,False
cordoba12_4,False
cordoba12_6,False
cordoba13_1,False
cordoba13_2,True
cordoba13_5,False
cordoba13_7,False
cordoba13_8,False
cordoba14_0,False
cordoba14_1,False
cordoba14_2,False
cordoba14_4,False
cordoba14_6,True
cordoba14_7,True
cordoba15_2,False
cordoba15_4,False
cordoba15_5,True
cordoba15_6,True
cordoba15_7,True
cordoba15_8,False
cordoba16_0,True
cordoba16_3,False
cordoba16_4,True
cordoba16_5,False
cordoba16_6,False
cordoba16_7,False
cordoba17_1,False
cordoba17_2,False
cordoba17_4,False
cordoba17_5,False
cordoba17_6,True
cordoba17_7,False
cordoba17_8,True
cordoba18_0,True
cordoba18_1,False
cordoba18_2,False
cordoba18_3,False
cordoba18_4,False
cordoba18_5,False
cordoba18_6,True
cordoba18_7,False
cordoba18_8,False
cordoba19_0,False
cordoba19_3,True
cordoba19_5,True
cordoba19_7,False
cordoba1_1,True
cordoba1_2,False
cordoba1_3,False
cordoba1_4,False
cordoba1_6,False
cordoba20_1,False
cordoba20_3,False
cordoba20_4,False
cordoba20_5,False
cordoba20_7,True
cordoba2_1,True
cordoba2_2,False
cordoba2_3,False
cordoba2_4,True
cordoba2_5,False
cordoba2_6,False
cordoba3_0,False
cordoba3_1,False
cordoba3_2,True
cordoba3_3,False
cordoba3_4,False
cordoba3_5,True
cordoba3_6,True
cordoba3_7,False
cordoba3_8,False
cordoba4_6,False
cordoba4_7,False
cordoba4_8,False
cordoba5_0,False
cordoba5_1,True
cordoba5_2,True
cordoba5_3,False
cordoba5_4,False
cordoba5_5,False
cordoba5_6,False
cordoba5_7,False
cordoba5_8,False
cordoba6_0,False
cordoba6_1,True
cordoba6_2,False
cordoba6_3,True
cordoba6_4,False
cordoba6_5,False
cordoba6_6,True
cordoba6_7,True
cordoba6_8,True
cordoba7_6,False
cordoba7_7,True
cordoba7_8,False
cordoba8_0,False
cordoba8_1,False
cordoba8_2,False
cordoba8_3,False
cordoba8_4,False
cordoba8_5,False
cordoba8_6,False
cordoba8_7,False
cordoba9_1,False
cordoba9_2,False
cordoba9_4,False
cordoba9_5,True
cordoba9_7,False
cordoba9_8,True
parana10_3,False
parana10_4,True
parana10_7,False
parana11_1,False
parana11_4,False
parana1_0,True
parana1_1,False
parana1_2,False
parana1_4,True
parana1_5,False
parana1_7,False
parana1_8,False
parana2_0,False
parana2_1,False
parana2_2,False
parana2_3,False
parana2_5,False
parana2_6,False
parana2_7,False
parana2_8,False
parana3_0,True
parana3_2,False
parana3_3,True
parana3_4,False
parana3_5,False
parana3_7,False
parana3_8,True
parana4_0,False
parana4_1,False
parana4_2,False
parana4_3,True
parana4_4,False
parana4_5,True
parana4_6,False
parana4_7,True
parana4_8,False
parana5_1,False
parana5_2,False
parana5_3,False
parana5_4,True
parana5_5,False
parana5_6,False
parana5_7,False
parana5_8,False
parana6_2,True
parana6_4,True
parana6_5,False
parana6_6,True
parana6_8,False
parana7_0,False
parana7_1,False
parana7_2,False
parana7_4,False
parana7_5,True
parana7_6,False
parana7_8,False
parana8_2,True
parana8_4,False
parana8_8,False
parana9_0,False
parana9_1,False
parana9_4,False
rosario10_0,False
rosario10_1,False
rosario10_2,False
rosario10_4,False
rosario10_5,True
rosario10_7,False
rosario11_0,False
rosario11_1,False
rosario11_2,False
rosario11_3,False
rosario11_4,False
rosario11_5,False
rosario11_6,True
rosario11_7,False
rosario11_8,True
rosario12_0,False
rosario12_1,False
rosario12_2,False
rosario12_3,False
rosario12_4,False
rosario12_5,False
rosario12_8,False
rosario13_0,True
rosario13_3,True
rosario13_6,True
rosario13_8,False
rosario14_1,True
rosario14_4,True
rosario14_5,False
rosario14_6,True
rosario15_3,True
rosario15_4,False
rosario15_5,False
rosario15_6,True
rosario15_7,False
rosario16_0,False
rosario16_1,False
rosario16_2,False
rosario16_4,False
rosario16_5,False
rosario17_0,False
rosario17_1,False
rosario17_2,True
rosario17_3,True
rosario17_4,False
rosario17_5,False
rosario17_6,True
rosario17_7,False
rosario17_8,False
rosario18_0,False
rosario18_1,True
rosario18_2,False
rosario18_3,True
rosario18_4,True
rosario18_5,False
rosario19_0,False
rosario19_1,True
rosario19_2,False
rosario19_3,False
rosario19_4,False
rosario19_5,False
rosario19_6,True
rosario19_7,True
rosario19_8,False
rosario1_0,False
rosario1_1,False
rosario1_3,False
rosario1_4,False
rosario1_5,False
rosario1_6,False
rosario1_7,False
rosario20_1,False
rosario20_2,False
rosario20_4,False
rosario20_5,False
rosario20_6,True
rosario20_7,False
rosario20_8,False
rosario21_0,False
rosario21_1,False
rosario21_2,False
rosario21_4,True
rosario21_5,False
rosario21_7,False
rosario21_8,True
rosario22_0,False
rosario22_1,False
rosario22_2,False
rosario22_3,False
rosario22_6,False
rosario22_7,False
rosario22_8,False
rosario23_0,False
rosario23_1,False
