image,is_tagged
cordoba10_0,True
cordoba10_1,True
cordoba10_2,False
cordoba10_3,False
cordoba10_4,True
cordoba10_5,True
cordoba10_6,True
cordoba10_7,True
cordoba10_8,False
cordoba11_1,True
cordoba11_3,True
cordoba11_4,True
cordoba12_0,True
cordoba12_3,False
cordoba12_4,False
cordoba12_6,True
cordoba13_1,True
cordoba13_2,True
cordoba13_5,True
cordoba13_7,True
cordoba13_8,False
cordoba14_0,True
cordoba14_1,False
cordoba14_2,True
cordoba14_4,False
cordoba14_6,False
cordoba14_7,True
cordoba15_2,True
cordoba15_4,False
cordoba15_5,True
cordoba15_6,True
cordoba15_7,True
cordoba15_8,True
cordoba16_0,True
cordoba16_3,True
cordoba16_4,True
cordoba16_5,True
cordoba16_6,True
cordoba16_7,False
cordoba17_1,True
cordoba17_2,False
cordoba17_4,True
cordoba17_5,True
cordoba17_6,True
cordoba17_7,True
cordoba17_8,False
cordoba18_0,False
cordoba18_1,True
cordoba18_2,False
cordoba18_3,True
cordoba18_4,True
cordoba18_5,False
cordoba18_6,False
cordoba18_7,False
cordoba18_8,True
cordoba19_0,False
cordoba19_3,True
cordoba19_5,False
cordoba19_7,True
cordoba1_1,False
cordoba1_2,True
cordoba1_3,True
cordoba1_4,False
cordoba1_6,True
cordoba20_1,True
cordoba20_3,True
cordoba20_4,True
cordoba20_5,False
cordoba20_7,True
cordoba2_1,True
cordoba2_2,True
cordoba2_3,False
cordoba2_4,False
cordoba2_5,False
cordoba2_6,True
cordoba3_0,False
cordoba3_1,True
cordoba3_2,False
cordoba3_3,True
cordoba3_4,False
cordoba3_5,False
cordoba3_6,True
cordoba3_7,True
cordoba3_8,True
cordoba4_6,True
cordoba4_7,False
cordoba4_8,True
cordoba5_0,True
cordoba5_1,True
cordoba5_2,True
cordoba5_3,True
cordoba5_4,True
cordoba5_5,True
cordoba5_6,False
cordoba5_7,False
cordoba5_8,True
cordoba6_0,False
cordoba6_1,False
cordoba6_2,True
cordoba6_3,True
cordoba6_4,False
cordoba6_5,True
cordoba6_6,False
cordoba6_7,True
cordoba6_8,True
cordoba7_6,False
cordoba7_7,False
cordoba7_8,True
cordoba8_0,False
cordoba8_1,True
cordoba8_2,True
cordoba8_3,True
cordoba8_4,True
cordoba8_5,True
cordoba8_6,False
cordoba8_7,False
cordoba9_1,True
cordoba9_2,True
cordoba9_4,False
cordoba9_5,False
cordoba9_7,False
cordoba9_8,True
parana10_3,True
parana10_4,True
parana10_7,True
parana11_1,True
parana11_4,True
parana1_0,False
parana1_1,True
parana1_2,False
parana1_4,True
parana1_5,False
parana1_7,True
parana1_8,False
parana2_0,False
parana2_1,False
parana2_2,False
parana2_3,False
parana2_5,True
parana2_6,False
parana2_7,True
parana2_8,True
parana3_0,False
parana3_2,True
parana3_3,False
parana3_4,False
parana3_5,True
parana3_7,True
parana3_8,False
parana4_0,False
parana4_1,False
parana4_2,True
parana4_3,True
parana4_4,True
parana4_5,False
parana4_6,True
parana4_7,False
parana4_8,True
parana5_1,False
parana5_2,True
parana5_3,False
parana5_4,False
parana5_5,True
parana5_6,True
parana5_7,True
parana5_8,True
parana6_2,False
parana6_4,False
parana6_5,True
parana6_6,True
parana6_8,True
parana7_0,False
parana7_1,True
parana7_2,True
parana7_4,True
parana7_5,True
parana7_6,False
parana7_8,False
parana8_2,True
parana8_4,False
parana8_8,True
parana9_0,True
parana9_1,True
parana9_4,True
rosario10_0,False
rosario10_1,True
rosario10_2,False
rosario10_4,False
rosario10_5,True
rosario10_7,True
rosario11_0,True
rosario11_1,True
rosario11_2,False
rosario11_3,True
rosario11_4,True
rosario11_5,False
rosario11_6,True
rosario11_7,True
rosario11_8,False
rosario12_0,True
rosario12_1,True
rosario12_2,True
rosario12_3,False
rosario12_4,False
rosario12_5,True
rosario12_8,True
rosario13_0,False
rosario13_3,False
rosario13_6,False
rosario13_8,True
rosario14_1,True
rosario14_4,True
rosario14_5,True
rosario14_6,True
rosario15_3,False
rosario15_4,False
rosario15_5,False
rosario15_6,True
rosario15_7,True
rosario16_0,True
rosario16_1,True
rosario16_2,True
rosario16_4,False
rosario16_5,False
