image,is_tagged
cordoba10_0,True
cordoba10_1,True
cordoba10_2,False
cordoba10_3,False
cordoba10_4,True
cordoba10_5,False
cordoba10_6,True
cordoba10_7,False
cordoba10_8,False
cordoba11_1,True
cordoba11_3,False
cordoba11_4,False
cordoba12_0,False
cordoba12_3,False
cordoba12_4,True
cordoba12_6,False
cordoba13_1,True
cordoba13_2,True
cordoba13_5,False
cordoba13_7,False
cordoba13_8,False
cordoba14_0,False
cordoba14_1,False
cordoba14_2,False
cordoba14_4,False
cordoba14_6,False
cordoba14_7,False
cordoba15_2,True
cordoba15_4,True
cordoba15_5,False
cordoba15_6,False
cordoba15_7,False
cordoba15_8,False
cordoba16_0,False
cordoba16_3,False
cordoba16_4,True
cordoba16_5,False
cordoba16_6,False
cordoba16_7,False
cordoba17_1,False
cordoba17_2,False
cordoba17_4,True
cordoba17_5,False
cordoba17_6,False
cordoba17_7,False
cordoba17_8,False
cordoba18_0,False
cordoba18_1,False
cordoba18_2,False
cordoba18_3,False
cordoba18_4,True
cordoba18_5,False
cordoba18_6,False
cordoba18_7,False
cordoba18_8,False
cordoba19_0,True
cordoba19_3,False
cordoba19_5,False
cordoba19_7,False
cordoba1_1,False
cordoba1_2,False
cordoba1_3,False
cordoba1_4,True
cordoba1_6,False
cordoba20_1,False
cordoba20_3,False
cordoba20_4,True
cordoba20_5,False
cordoba20_7,False
cordoba2_1,True
cordoba2_2,False
cordoba2_3,False
cordoba2_4,True
cordoba2_5,False
cordoba2_6,False
cordoba3_0,True
cordoba3_1,True
cordoba3_2,False
cordoba3_3,False
cordoba3_4,False
cordoba3_5,False
cordoba3_6,False
cordoba3_7,False
cordoba3_8,False
cordoba4_6,True
cordoba4_7,False
cordoba4_8,False
cordoba5_0,True
cordoba5_1,False
cordoba5_2,False
cordoba5_3,False
cordoba5_4,False
cordoba5_5,False
cordoba5_6,False
cordoba5_7,False
cordoba5_8,False
cordoba6_0,False
cordoba6_1,False
cordoba6_2,False
cordoba6_3,True
cordoba6_4,True
cordoba6_5,True
cordoba6_6,False
cordoba6_7,False
cordoba6_8,False
cordoba7_6,False
cordoba7_7,False
cordoba7_8,False
cordoba8_0,False
cordoba8_1,False
cordoba8_2,False
cordoba8_3,False
cordoba8_4,False
cordoba8_5,False
cordoba8_6,True
cordoba8_7,False
cordoba9_1,False
cordoba9_2,True
cordoba9_4,False
cordoba9_5,False
cordoba9_7,False
cordoba9_8,False
parana10_3,False
parana10_4,True
parana10_7,False
parana11_1,False
parana11_4,False
parana1_0,False
parana1_1,False
parana1_2,False
parana1_4,False
parana1_5,False
parana1_7,False
parana1_8,False
parana2_0,False
parana2_1,False
parana2_2,True
parana2_3,False
parana2_5,False
parana2_6,False
parana2_7,False
parana2_8,False
parana3_0,False
parana3_2,False
parana3_3,True
parana3_4,False
parana3_5,False
parana3_7,False
parana3_8,False
parana4_0,True
parana4_1,False
parana4_2,False
parana4_3,True
parana4_4,False
parana4_5,False
parana4_6,False
parana4_7,False
parana4_8,False
parana5_1,False
parana5_2,False
parana5_3,False
parana5_4,False
parana5_5,False
parana5_6,False
parana5_7,False
parana5_8,False
parana6_2,False
parana6_4,False
parana6_5,False
parana6_6,True
parana6_8,False
parana7_0,False
parana7_1,False
parana7_2,True
parana7_4,False
parana7_5,False
parana7_6,False
parana7_8,False
parana8_2,False
parana8_4,False
parana8_8,False
parana9_0,False
parana9_1,False
parana9_4,False
rosario10_0,False
rosario10_1,False
rosario10_2,False
rosario10_4,True
rosario10_5,False
rosario10_7,False
rosario11_0,False
rosario11_1,False
rosario11_2,False
rosario11_3,False
rosario11_4,False
rosario11_5,False
rosario11_6,False
rosario11_7,False
rosario11_8,True
rosario12_0,False
rosario12_1,False
rosario12_2,False
rosario12_3,True
rosario12_4,False
rosario12_5,False
rosario12_8,True
rosario13_0,False
rosario13_3,False
rosario13_6,False
rosario13_8,False
rosario14_1,False
rosario14_4,False
rosario14_5,False
rosario14_6,True
rosario15_3,False
rosario15_4,False
rosario15_5,False
rosario15_6,False
rosario15_7,False
rosario16_0,False
rosario16_1,False
rosario16_2,False
rosario16_4,False
rosario16_5,True
