image,tag
santafe7_6_0,0
santafe7_6_1,0
santafe7_6_2,0
santafe7_6_3,0
santafe7_6_4,0
santafe7_6_5,0
santafe7_6_6,0
santafe7_6_7,0
santafe7_6_8,0
santafe7_6_9,0
santafe7_6_10,0
santafe7_6_11,0
santafe7_6_12,0
santafe7_6_13,0
santafe7_6_14,0
santafe7_6_15,0
cordoba9_4_0,0
cordoba9_4_1,0.5
cordoba9_4_2,1
cordoba9_4_3,1
cordoba9_4_4,0
cordoba9_4_5,0
cordoba9_4_6,0.5
cordoba9_4_7,0.5
cordoba9_4_8,0
cordoba9_4_9,0
cordoba9_4_10,0.5
cordoba9_4_11,0
cordoba9_4_12,0
cordoba9_4_13,0
cordoba9_4_14,1
cordoba9_4_15,0
parana1_5_0,0
parana1_5_1,0
parana1_5_2,0
parana1_5_3,0
parana1_5_4,0
parana1_5_5,0
parana1_5_6,0
parana1_5_7,0.5
parana1_5_8,1
parana1_5_9,0
parana1_5_10,0
parana1_5_11,0
parana1_5_12,0
parana1_5_13,0
parana1_5_14,0
parana1_5_15,0
rosario17_5_0,0
rosario17_5_1,0
rosario17_5_2,0
rosario17_5_3,0
rosario17_5_4,1
rosario17_5_5,0
rosario17_5_6,0
rosario17_5_7,0
rosario17_5_8,1
rosario17_5_9,0
rosario17_5_10,0
rosario17_5_11,0
rosario17_5_12,0
rosario17_5_13,0
rosario17_5_14,0
rosario17_5_15,0
rosario10_0_0,0
rosario10_0_1,0.5
rosario10_0_2,1
rosario10_0_3,0
rosario10_0_4,0
rosario10_0_5,0
rosario10_0_6,0.5
rosario10_0_7,1
rosario10_0_8,0
rosario10_0_9,0
rosario10_0_10,0
rosario10_0_11,0
rosario10_0_12,0
rosario10_0_13,0
rosario10_0_14,0.5
rosario10_0_15,0
cordoba17_4_0,0
cordoba17_4_1,0
cordoba17_4_2,1
cordoba17_4_3,0
cordoba17_4_4,0
cordoba17_4_5,0
cordoba17_4_6,0
cordoba17_4_7,0
cordoba17_4_8,0
cordoba17_4_9,0.5
cordoba17_4_10,0
cordoba17_4_11,0
cordoba17_4_12,0
cordoba17_4_13,0
cordoba17_4_14,0
cordoba17_4_15,0
rosario20_5_0,1
rosario20_5_1,1
rosario20_5_2,1
rosario20_5_3,0.5
rosario20_5_4,0
rosario20_5_5,0
rosario20_5_6,0
rosario20_5_7,0
rosario20_5_8,0
rosario20_5_9,0
rosario20_5_10,0
rosario20_5_11,0
rosario20_5_12,0
rosario20_5_13,0
rosario20_5_14,0
rosario20_5_15,0
rosario11_6_0,0
rosario11_6_1,0
rosario11_6_2,0.5
rosario11_6_3,0
rosario11_6_4,0
rosario11_6_5,0
rosario11_6_6,0.5
rosario11_6_7,0
rosario11_6_8,0
rosario11_6_9,0
rosario11_6_10,0.5
rosario11_6_11,0
rosario11_6_12,0
rosario11_6_13,1
rosario11_6_14,0
rosario11_6_15,0
cordoba13_7_0,0
cordoba13_7_1,0
cordoba13_7_2,0
cordoba13_7_3,0
cordoba13_7_4,0
cordoba13_7_5,0
cordoba13_7_6,0
cordoba13_7_7,0
cordoba13_7_8,0
cordoba13_7_9,0
cordoba13_7_10,0
cordoba13_7_11,0
cordoba13_7_12,0
cordoba13_7_13,0
cordoba13_7_14,1
cordoba13_7_15,1
rosario8_8_0,0
rosario8_8_1,0
rosario8_8_2,0
rosario8_8_3,0
rosario8_8_4,0
rosario8_8_5,0
rosario8_8_6,0
rosario8_8_7,0
rosario8_8_8,0
rosario8_8_9,0
rosario8_8_10,0
rosario8_8_11,0
rosario8_8_12,0
rosario8_8_13,0
rosario8_8_14,0
rosario8_8_15,0
santafe8_8_0,0
santafe8_8_1,0
santafe8_8_2,1
santafe8_8_3,0
santafe8_8_4,0
santafe8_8_5,0
santafe8_8_6,0.5
santafe8_8_7,0
santafe8_8_8,0
santafe8_8_9,0
santafe8_8_10,0
santafe8_8_11,0
santafe8_8_12,0
santafe8_8_13,0.5
santafe8_8_14,0
santafe8_8_15,0
parana1_1_0,0
parana1_1_1,0
parana1_1_2,0
parana1_1_3,0
parana1_1_4,0
parana1_1_5,0
parana1_1_6,0
parana1_1_7,0
parana1_1_8,0
parana1_1_9,0
parana1_1_10,0
parana1_1_11,0
parana1_1_12,0
parana1_1_13,0
parana1_1_14,0
parana1_1_15,0
cordoba9_2_0,0
cordoba9_2_1,0
cordoba9_2_2,0
cordoba9_2_3,0
cordoba9_2_4,1
cordoba9_2_5,0
cordoba9_2_6,0
cordoba9_2_7,0
cordoba9_2_8,0
cordoba9_2_9,0
cordoba9_2_10,0
cordoba9_2_11,0
cordoba9_2_12,0
cordoba9_2_13,0
cordoba9_2_14,0
cordoba9_2_15,0
cordoba15_5_0,0.5
cordoba15_5_1,0
cordoba15_5_2,0
cordoba15_5_3,0
cordoba15_5_4,1
cordoba15_5_5,0
cordoba15_5_6,0
cordoba15_5_7,0
cordoba15_5_8,0
cordoba15_5_9,0
cordoba15_5_10,0
cordoba15_5_11,0
cordoba15_5_12,0
cordoba15_5_13,0
cordoba15_5_14,0
cordoba15_5_15,0
rosario20_1_0,0
rosario20_1_1,0
rosario20_1_2,0
rosario20_1_3,0
rosario20_1_4,0
rosario20_1_5,1
rosario20_1_6,1
rosario20_1_7,1
rosario20_1_8,0
rosario20_1_9,0
rosario20_1_10,0.5
rosario20_1_11,0
rosario20_1_12,0
rosario20_1_13,0
rosario20_1_14,0
rosario20_1_15,0
