image,tag
santafe3_4_0,0
santafe3_4_1,0
santafe3_4_2,0
santafe3_4_3,0
santafe3_4_4,0.5
santafe3_4_5,0.5
santafe3_4_6,0
santafe3_4_7,0.5
santafe3_4_8,0.5
santafe3_4_9,0.5
santafe3_4_10,1
santafe3_4_11,0
santafe3_4_12,0
santafe3_4_13,0
santafe3_4_14,0
santafe3_4_15,0
rosario17_5_0,0
rosario17_5_1,0
rosario17_5_2,0
rosario17_5_3,0
rosario17_5_4,0
rosario17_5_5,0
rosario17_5_6,0
rosario17_5_7,0
rosario17_5_8,1
rosario17_5_9,0.5
rosario17_5_10,0
rosario17_5_11,0
rosario17_5_12,0.5
rosario17_5_13,0
rosario17_5_14,0
rosario17_5_15,0
rosario13_3_0,0
rosario13_3_1,0.5
rosario13_3_2,0
rosario13_3_3,0
rosario13_3_4,0
rosario13_3_5,0.5
rosario13_3_6,1
rosario13_3_7,0.5
rosario13_3_8,0
rosario13_3_9,0
rosario13_3_10,0.5
rosario13_3_11,0
rosario13_3_12,0
rosario13_3_13,0
rosario13_3_14,0
rosario13_3_15,0
parana2_5_0,0
parana2_5_1,0
parana2_5_2,0
parana2_5_3,0
parana2_5_4,0
parana2_5_5,0
parana2_5_6,0.5
parana2_5_7,0
parana2_5_8,0
parana2_5_9,0
parana2_5_10,0
parana2_5_11,0
parana2_5_12,0
parana2_5_13,0
parana2_5_14,0
parana2_5_15,0
cordoba7_8_0,0
cordoba7_8_1,0
cordoba7_8_2,0
cordoba7_8_3,0
cordoba7_8_4,0.5
cordoba7_8_5,0
cordoba7_8_6,0
cordoba7_8_7,0
cordoba7_8_8,0
cordoba7_8_9,0.5
cordoba7_8_10,0
cordoba7_8_11,0
cordoba7_8_12,0
cordoba7_8_13,0
cordoba7_8_14,0
cordoba7_8_15,0
cordoba5_8_0,0.5
cordoba5_8_1,0
cordoba5_8_2,0
cordoba5_8_3,0.5
cordoba5_8_4,0
cordoba5_8_5,0
cordoba5_8_6,0
cordoba5_8_7,0
cordoba5_8_8,0.5
cordoba5_8_9,0.5
cordoba5_8_10,1
cordoba5_8_11,0
cordoba5_8_12,0
cordoba5_8_13,0.5
cordoba5_8_14,1
cordoba5_8_15,0
cordoba9_1_0,0
cordoba9_1_1,0.5
cordoba9_1_2,0
cordoba9_1_3,1
cordoba9_1_4,0.5
cordoba9_1_5,0
cordoba9_1_6,0
cordoba9_1_7,0.5
cordoba9_1_8,0
cordoba9_1_9,0
cordoba9_1_10,0
cordoba9_1_11,1
cordoba9_1_12,0
cordoba9_1_13,0.5
cordoba9_1_14,0
cordoba9_1_15,1
rosario10_2_0,0
rosario10_2_1,0
rosario10_2_2,0
rosario10_2_3,0
rosario10_2_4,0.5
rosario10_2_5,1
rosario10_2_6,0
rosario10_2_7,0
rosario10_2_8,0
rosario10_2_9,0
rosario10_2_10,0.5
rosario10_2_11,0
rosario10_2_12,1
rosario10_2_13,1
rosario10_2_14,0.5
rosario10_2_15,0
cordoba17_2_0,0
cordoba17_2_1,0
cordoba17_2_2,0
cordoba17_2_3,0
cordoba17_2_4,0
cordoba17_2_5,0
cordoba17_2_6,0
cordoba17_2_7,0
cordoba17_2_8,0
cordoba17_2_9,0
cordoba17_2_10,0
cordoba17_2_11,0
cordoba17_2_12,0
cordoba17_2_13,0
cordoba17_2_14,0
cordoba17_2_15,0
cordoba16_6_0,1
cordoba16_6_1,0
cordoba16_6_2,0
cordoba16_6_3,0
cordoba16_6_4,0
cordoba16_6_5,0
cordoba16_6_6,0
cordoba16_6_7,0
cordoba16_6_8,0
cordoba16_6_9,0
cordoba16_6_10,0.5
cordoba16_6_11,0
cordoba16_6_12,0
cordoba16_6_13,0
cordoba16_6_14,0
cordoba16_6_15,0.5
rosario5_4_0,0
rosario5_4_1,0
rosario5_4_2,0.5
rosario5_4_3,0
rosario5_4_4,0
rosario5_4_5,0
rosario5_4_6,0
rosario5_4_7,0
rosario5_4_8,1
rosario5_4_9,0.5
rosario5_4_10,0
rosario5_4_11,0
rosario5_4_12,0.5
rosario5_4_13,0
rosario5_4_14,0
rosario5_4_15,0
rosario24_4_0,0
rosario24_4_1,0
rosario24_4_2,0
rosario24_4_3,0
rosario24_4_4,0
rosario24_4_5,0
rosario24_4_6,1
rosario24_4_7,0
rosario24_4_8,0.5
rosario24_4_9,0.5
rosario24_4_10,0
rosario24_4_11,0
rosario24_4_12,0
rosario24_4_13,0
rosario24_4_14,0
rosario24_4_15,0.5
rosario20_4_0,0
rosario20_4_1,0
rosario20_4_2,0
rosario20_4_3,0.5
rosario20_4_4,0
rosario20_4_5,0
rosario20_4_6,0
rosario20_4_7,0
rosario20_4_8,0
rosario20_4_9,0
rosario20_4_10,0
rosario20_4_11,0
rosario20_4_12,0
rosario20_4_13,0
rosario20_4_14,0
rosario20_4_15,0
rosario2_5_0,1
rosario2_5_1,0
rosario2_5_2,0
rosario2_5_3,0
rosario2_5_4,0
rosario2_5_5,0
rosario2_5_6,0
rosario2_5_7,0
rosario2_5_8,0
rosario2_5_9,0
rosario2_5_10,0
rosario2_5_11,0
rosario2_5_12,0
rosario2_5_13,0
rosario2_5_14,0
rosario2_5_15,0
rosario4_8_0,0.5
rosario4_8_1,0
rosario4_8_2,0
rosario4_8_3,0
rosario4_8_4,0
rosario4_8_5,0
rosario4_8_6,0
rosario4_8_7,0
rosario4_8_8,0
rosario4_8_9,0
rosario4_8_10,0
rosario4_8_11,0
rosario4_8_12,0
rosario4_8_13,0
rosario4_8_14,0
rosario4_8_15,0
parana1_0_0,0
parana1_0_1,0
parana1_0_2,0
parana1_0_3,0
parana1_0_4,0
parana1_0_5,0
parana1_0_6,0
parana1_0_7,0
parana1_0_8,0
parana1_0_9,0
parana1_0_10,0
parana1_0_11,0
parana1_0_12,0
parana1_0_13,0
parana1_0_14,1
parana1_0_15,0.5
santafe9_4_0,1
santafe9_4_1,0
santafe9_4_2,1
santafe9_4_3,0
santafe9_4_4,0.5
santafe9_4_5,0
santafe9_4_6,1
santafe9_4_7,0
santafe9_4_8,0.5
santafe9_4_9,0
santafe9_4_10,0
santafe9_4_11,0
santafe9_4_12,1
santafe9_4_13,0
santafe9_4_14,0
santafe9_4_15,0
parana6_8_0,0
parana6_8_1,0
parana6_8_2,0
parana6_8_3,0
parana6_8_4,0
parana6_8_5,0
parana6_8_6,0
parana6_8_7,0
parana6_8_8,0
parana6_8_9,0
parana6_8_10,0
parana6_8_11,0
parana6_8_12,0
parana6_8_13,0
parana6_8_14,0
parana6_8_15,0
cordoba20_7_0,0
cordoba20_7_1,0
cordoba20_7_2,0
cordoba20_7_3,0
cordoba20_7_4,0
cordoba20_7_5,0
cordoba20_7_6,0
cordoba20_7_7,0
cordoba20_7_8,1
cordoba20_7_9,0
cordoba20_7_10,0
cordoba20_7_11,0
cordoba20_7_12,0
cordoba20_7_13,0
cordoba20_7_14,0
cordoba20_7_15,0
santafe9_6_0,0
santafe9_6_1,0
santafe9_6_2,0
santafe9_6_3,0
santafe9_6_4,0
santafe9_6_5,0
santafe9_6_6,1
santafe9_6_7,0.5
santafe9_6_8,0.5
santafe9_6_9,0
santafe9_6_10,1
santafe9_6_11,0
santafe9_6_12,0.5
santafe9_6_13,0
santafe9_6_14,0.5
santafe9_6_15,0
rosario9_8_0,0
rosario9_8_1,0
rosario9_8_2,0
rosario9_8_3,0
rosario9_8_4,0
rosario9_8_5,0
rosario9_8_6,0.5
rosario9_8_7,0
rosario9_8_8,0
rosario9_8_9,0
rosario9_8_10,0
rosario9_8_11,0
rosario9_8_12,0
rosario9_8_13,0
rosario9_8_14,0
rosario9_8_15,0
cordoba1_3_0,0
cordoba1_3_1,0
cordoba1_3_2,0
cordoba1_3_3,0
cordoba1_3_4,0
cordoba1_3_5,0
cordoba1_3_6,0
cordoba1_3_7,0
cordoba1_3_8,0
cordoba1_3_9,0
cordoba1_3_10,0
cordoba1_3_11,0
cordoba1_3_12,0
cordoba1_3_13,0
cordoba1_3_14,0
cordoba1_3_15,1
santafe8_8_0,0
santafe8_8_1,0
santafe8_8_2,1
santafe8_8_3,0
santafe8_8_4,0
santafe8_8_5,0
santafe8_8_6,0
santafe8_8_7,0
santafe8_8_8,0
santafe8_8_9,0
santafe8_8_10,0
santafe8_8_11,0
santafe8_8_12,0
santafe8_8_13,0
santafe8_8_14,0
santafe8_8_15,0
santafe14_1_0,0
santafe14_1_1,0
santafe14_1_2,0
santafe14_1_3,0
santafe14_1_4,0
santafe14_1_5,0
santafe14_1_6,0
santafe14_1_7,0
santafe14_1_8,0
santafe14_1_9,0
santafe14_1_10,0
santafe14_1_11,0
santafe14_1_12,0
santafe14_1_13,0
santafe14_1_14,0
santafe14_1_15,0
cordoba11_1_0,0
cordoba11_1_1,0
cordoba11_1_2,0
cordoba11_1_3,0
cordoba11_1_4,0
cordoba11_1_5,0
cordoba11_1_6,0
cordoba11_1_7,0
cordoba11_1_8,0
cordoba11_1_9,0
cordoba11_1_10,0
cordoba11_1_11,0
cordoba11_1_12,0
cordoba11_1_13,0
cordoba11_1_14,0
cordoba11_1_15,0
santafe9_1_0,0
santafe9_1_1,0
santafe9_1_2,0
santafe9_1_3,0
santafe9_1_4,0
santafe9_1_5,0.5
santafe9_1_6,0.5
santafe9_1_7,1
santafe9_1_8,1
santafe9_1_9,0
santafe9_1_10,0
santafe9_1_11,0
santafe9_1_12,1
santafe9_1_13,0
santafe9_1_14,1
santafe9_1_15,0.5
rosario25_2_0,0
rosario25_2_1,0
rosario25_2_2,0
rosario25_2_3,0
rosario25_2_4,0
rosario25_2_5,0
rosario25_2_6,0
rosario25_2_7,0
rosario25_2_8,0
rosario25_2_9,0
rosario25_2_10,0
rosario25_2_11,0
rosario25_2_12,0
rosario25_2_13,0
rosario25_2_14,0
rosario25_2_15,0
cordoba6_7_0,0.5
cordoba6_7_1,0
cordoba6_7_2,0
cordoba6_7_3,1
cordoba6_7_4,0
cordoba6_7_5,0
cordoba6_7_6,0
cordoba6_7_7,1
cordoba6_7_8,0
cordoba6_7_9,0
cordoba6_7_10,0
cordoba6_7_11,0
cordoba6_7_12,0
cordoba6_7_13,0
cordoba6_7_14,0
cordoba6_7_15,0
cordoba18_6_0,0
cordoba18_6_1,0
cordoba18_6_2,0
cordoba18_6_3,0
cordoba18_6_4,0
cordoba18_6_5,0
cordoba18_6_6,0
cordoba18_6_7,0
cordoba18_6_8,0
cordoba18_6_9,0
cordoba18_6_10,0
cordoba18_6_11,0
cordoba18_6_12,0
cordoba18_6_13,0
cordoba18_6_14,0
cordoba18_6_15,0
parana8_2_0,0
parana8_2_1,0
parana8_2_2,0
parana8_2_3,0
parana8_2_4,1
parana8_2_5,1
parana8_2_6,0
parana8_2_7,0
parana8_2_8,0
parana8_2_9,0.5
parana8_2_10,0
parana8_2_11,0
parana8_2_12,0
parana8_2_13,0.5
parana8_2_14,0
parana8_2_15,0
santafe1_7_0,1
santafe1_7_1,0
santafe1_7_2,1
santafe1_7_3,0
santafe1_7_4,0
santafe1_7_5,0
santafe1_7_6,0.5
santafe1_7_7,0.5
santafe1_7_8,0
santafe1_7_9,0
santafe1_7_10,0
santafe1_7_11,0
santafe1_7_12,0
santafe1_7_13,0
santafe1_7_14,0
santafe1_7_15,0
santafe9_2_0,1
santafe9_2_1,0.5
santafe9_2_2,0
santafe9_2_3,0
santafe9_2_4,0
santafe9_2_5,0
santafe9_2_6,0
santafe9_2_7,0
santafe9_2_8,0
santafe9_2_9,0
santafe9_2_10,0
santafe9_2_11,0
santafe9_2_12,0
santafe9_2_13,0
santafe9_2_14,0
santafe9_2_15,0
santafe12_6_0,0
santafe12_6_1,0.5
santafe12_6_2,0
santafe12_6_3,0
santafe12_6_4,0
santafe12_6_5,0
santafe12_6_6,0
santafe12_6_7,0
santafe12_6_8,0
santafe12_6_9,0
santafe12_6_10,0.5
santafe12_6_11,0
santafe12_6_12,0
santafe12_6_13,0
santafe12_6_14,0
santafe12_6_15,0
parana2_1_0,1
parana2_1_1,0
parana2_1_2,0
parana2_1_3,0
parana2_1_4,0
parana2_1_5,0
parana2_1_6,0
parana2_1_7,0
parana2_1_8,0
parana2_1_9,0
parana2_1_10,0
parana2_1_11,0
parana2_1_12,0
parana2_1_13,0
parana2_1_14,0
parana2_1_15,0
rosario12_0_0,0
rosario12_0_1,0
rosario12_0_2,0
rosario12_0_3,0
rosario12_0_4,0
rosario12_0_5,0
rosario12_0_6,0
rosario12_0_7,0
rosario12_0_8,0
rosario12_0_9,0
rosario12_0_10,0
rosario12_0_11,0
rosario12_0_12,0
rosario12_0_13,0
rosario12_0_14,0
rosario12_0_15,0
cordoba7_7_0,0
cordoba7_7_1,0
cordoba7_7_2,0
cordoba7_7_3,0
cordoba7_7_4,0
cordoba7_7_5,0
cordoba7_7_6,0
cordoba7_7_7,0
cordoba7_7_8,0
cordoba7_7_9,0
cordoba7_7_10,0
cordoba7_7_11,0
cordoba7_7_12,0
cordoba7_7_13,0
cordoba7_7_14,0
cordoba7_7_15,0
rosario24_5_0,0
rosario24_5_1,0
rosario24_5_2,0
rosario24_5_3,0
rosario24_5_4,1
rosario24_5_5,1
rosario24_5_6,1
rosario24_5_7,0
rosario24_5_8,0
rosario24_5_9,1
rosario24_5_10,0
rosario24_5_11,0.5
rosario24_5_12,0
rosario24_5_13,0
rosario24_5_14,0
rosario24_5_15,0
rosario20_2_0,0
rosario20_2_1,0
rosario20_2_2,0
rosario20_2_3,0
rosario20_2_4,0
rosario20_2_5,1
rosario20_2_6,0
rosario20_2_7,0
rosario20_2_8,0
rosario20_2_9,1
rosario20_2_10,1
rosario20_2_11,0
rosario20_2_12,0.5
rosario20_2_13,1
rosario20_2_14,1
rosario20_2_15,0
rosario12_8_0,0
rosario12_8_1,0
rosario12_8_2,0
rosario12_8_3,0
rosario12_8_4,0
rosario12_8_5,0
rosario12_8_6,0
rosario12_8_7,0
rosario12_8_8,0
rosario12_8_9,1
rosario12_8_10,0
rosario12_8_11,0
rosario12_8_12,0
rosario12_8_13,0
rosario12_8_14,0
rosario12_8_15,0
rosario28_0_0,0
rosario28_0_1,0
rosario28_0_2,0
rosario28_0_3,0
rosario28_0_4,0
rosario28_0_5,0
rosario28_0_6,0
rosario28_0_7,0
rosario28_0_8,0
rosario28_0_9,0
rosario28_0_10,0
rosario28_0_11,0
rosario28_0_12,0
rosario28_0_13,0
rosario28_0_14,0
rosario28_0_15,0.5
parana6_4_0,0
parana6_4_1,0
parana6_4_2,0
parana6_4_3,0
parana6_4_4,0
parana6_4_5,0
parana6_4_6,0
parana6_4_7,0
parana6_4_8,0.5
parana6_4_9,0
parana6_4_10,0
parana6_4_11,0
parana6_4_12,0
parana6_4_13,0
parana6_4_14,1
parana6_4_15,0
rosario27_3_0,0
rosario27_3_1,0
rosario27_3_2,0
rosario27_3_3,0
rosario27_3_4,0
rosario27_3_5,0
rosario27_3_6,0
rosario27_3_7,0
rosario27_3_8,0
rosario27_3_9,0
