image,tag
santafe5_8_0,1
santafe5_8_1,0.5
santafe5_8_2,0.5
santafe5_8_3,0.5
santafe5_8_4,0.5
santafe5_8_5,0.5
santafe5_8_6,0.5
santafe5_8_7,0.5
santafe5_8_8,0.5
santafe5_8_9,0.5
santafe5_8_10,0.5
santafe5_8_11,0.5
santafe5_8_12,0.5
santafe5_8_13,0.5
santafe5_8_14,0.5
santafe5_8_15,0
parana7_6_0,0.5
parana7_6_1,0.5
parana7_6_2,0.5
parana7_6_3,0.5
parana7_6_4,0.5
parana7_6_5,0
parana7_6_6,1
parana7_6_7,1
parana7_6_8,0.5
parana7_6_9,0.5
parana7_6_10,0.5
parana7_6_11,0.5
parana7_6_12,0.5
parana7_6_13,0.5
parana7_6_14,0.5
parana7_6_15,0
parana4_6_0,0.5
parana4_6_1,0.5
parana4_6_2,0.5
parana4_6_3,0.5
parana4_6_4,0.5
parana4_6_5,0.5
parana4_6_6,0.5
parana4_6_7,0.5
parana4_6_8,0.5
parana4_6_9,0
parana4_6_10,0.5
parana4_6_11,1
parana4_6_12,0.5
parana4_6_13,1
parana4_6_14,0.5
parana4_6_15,0
rosario19_6_0,1
rosario19_6_1,1
rosario19_6_2,1
rosario19_6_3,0.5
rosario19_6_4,1
rosario19_6_5,0
rosario19_6_6,0
rosario19_6_7,0
rosario19_6_8,0.5
rosario19_6_9,1
rosario19_6_10,0.5
rosario19_6_11,0.5
rosario19_6_12,0.5
rosario19_6_13,1
rosario19_6_14,0.5
rosario19_6_15,0
rosario5_3_0,0.5
rosario5_3_1,1
rosario5_3_2,0.5
rosario5_3_3,0.5
rosario5_3_4,0.5
rosario5_3_5,1
rosario5_3_6,0.5
rosario5_3_7,0.5
rosario5_3_8,0.5
rosario5_3_9,0.5
rosario5_3_10,0.5
rosario5_3_11,0.5
rosario5_3_12,0.5
rosario5_3_13,0
rosario5_3_14,0.5
rosario5_3_15,0.5
rosario27_8_0,0
rosario27_8_1,0.5
rosario27_8_2,0
rosario27_8_3,1
rosario27_8_4,0
rosario27_8_5,0
rosario27_8_6,0
rosario27_8_7,0.5
rosario27_8_8,1
rosario27_8_9,1
rosario27_8_10,0.5
rosario27_8_11,0.5
rosario27_8_12,0
rosario27_8_13,0
rosario27_8_14,1
rosario27_8_15,1
