image,tag
santafe12_4_0,0
santafe12_4_1,0
santafe12_4_2,1
santafe12_4_3,0.5
santafe12_4_4,0
santafe12_4_5,0
santafe12_4_6,0.5
santafe12_4_7,0
santafe12_4_8,0.5
santafe12_4_9,0
santafe12_4_10,0
santafe12_4_11,0
santafe12_4_12,0
santafe12_4_13,0
santafe12_4_14,0.5
santafe12_4_15,0
cordoba4_8_0,0
cordoba4_8_1,0.5
cordoba4_8_2,1
cordoba4_8_3,0
cordoba4_8_4,1
cordoba4_8_5,0
cordoba4_8_6,0
cordoba4_8_7,0.5
cordoba4_8_8,0
cordoba4_8_9,0
cordoba4_8_10,0.5
cordoba4_8_11,0
cordoba4_8_12,0
cordoba4_8_13,0
cordoba4_8_14,0.5
cordoba4_8_15,1
cordoba15_2_0,0
cordoba15_2_1,0
cordoba15_2_2,0
cordoba15_2_3,0
cordoba15_2_4,0
cordoba15_2_5,0
cordoba15_2_6,0
cordoba15_2_7,0
cordoba15_2_8,0
cordoba15_2_9,0.5
cordoba15_2_10,0
cordoba15_2_11,0
cordoba15_2_12,1
cordoba15_2_13,1
cordoba15_2_14,0
cordoba15_2_15,0.5
santafe10_8_0,0
santafe10_8_1,0
santafe10_8_2,0.5
santafe10_8_3,0
santafe10_8_4,0
santafe10_8_5,1
santafe10_8_6,0
santafe10_8_7,0
santafe10_8_8,0
santafe10_8_9,0
santafe10_8_10,0
santafe10_8_11,0
santafe10_8_12,0
santafe10_8_13,0
santafe10_8_14,0
santafe10_8_15,0
santafe11_1_0,0
santafe11_1_1,0
santafe11_1_2,0
santafe11_1_3,0
santafe11_1_4,1
santafe11_1_5,0
santafe11_1_6,0
santafe11_1_7,0
santafe11_1_8,0
santafe11_1_9,0
santafe11_1_10,0
santafe11_1_11,0
santafe11_1_12,0
santafe11_1_13,0
santafe11_1_14,0
santafe11_1_15,0
rosario28_5_0,0
rosario28_5_1,0
rosario28_5_2,0
rosario28_5_3,0
rosario28_5_4,0
rosario28_5_5,0
rosario28_5_6,0
rosario28_5_7,0
rosario28_5_8,0
rosario28_5_9,0
rosario28_5_10,0
rosario28_5_11,0
rosario28_5_12,0.5
rosario28_5_13,0
rosario28_5_14,0
rosario28_5_15,0
rosario20_4_0,0
rosario20_4_1,0
rosario20_4_2,0
rosario20_4_3,0.5
rosario20_4_4,0
rosario20_4_5,0
rosario20_4_6,0
rosario20_4_7,0
rosario20_4_8,0
rosario20_4_9,0
rosario20_4_10,0
rosario20_4_11,0
rosario20_4_12,0
rosario20_4_13,0
rosario20_4_14,0
rosario20_4_15,0
parana7_8_0,0
parana7_8_1,0.5
parana7_8_2,0
parana7_8_3,0
parana7_8_4,0
parana7_8_5,0
parana7_8_6,1
parana7_8_7,0
parana7_8_8,0.5
parana7_8_9,1
parana7_8_10,0
parana7_8_11,0
parana7_8_12,0
parana7_8_13,0
parana7_8_14,0
parana7_8_15,0
cordoba8_5_0,0
cordoba8_5_1,0
cordoba8_5_2,0
cordoba8_5_3,0
cordoba8_5_4,0
cordoba8_5_5,1
cordoba8_5_6,0
cordoba8_5_7,0
cordoba8_5_8,0.5
cordoba8_5_9,0
cordoba8_5_10,0
cordoba8_5_11,0
cordoba8_5_12,0
cordoba8_5_13,0
cordoba8_5_14,0.5
cordoba8_5_15,0
santafe1_6_0,0
santafe1_6_1,0
santafe1_6_2,1
santafe1_6_3,1
santafe1_6_4,0
santafe1_6_5,0
santafe1_6_6,0
santafe1_6_7,0
santafe1_6_8,0
santafe1_6_9,0
santafe1_6_10,0
santafe1_6_11,0
santafe1_6_12,0
santafe1_6_13,0
santafe1_6_14,0
santafe1_6_15,0
santafe4_1_0,0
santafe4_1_1,0
santafe4_1_2,0.5
santafe4_1_3,0
santafe4_1_4,0.5
santafe4_1_5,0
santafe4_1_6,0
santafe4_1_7,0.5
santafe4_1_8,0
santafe4_1_9,0
santafe4_1_10,0
santafe4_1_11,0
santafe4_1_12,0
santafe4_1_13,0
santafe4_1_14,0
santafe4_1_15,1
rosario7_7_0,0
rosario7_7_1,0.5
rosario7_7_2,1
rosario7_7_3,1
rosario7_7_4,0
rosario7_7_5,0.5
rosario7_7_6,0
rosario7_7_7,0
rosario7_7_8,1
rosario7_7_9,0
rosario7_7_10,0
rosario7_7_11,0
rosario7_7_12,0
rosario7_7_13,0
rosario7_7_14,0.5
rosario7_7_15,0
santafe9_0_0,0
santafe9_0_1,0
santafe9_0_2,0
santafe9_0_3,0
santafe9_0_4,0
santafe9_0_5,0.5
santafe9_0_6,0
santafe9_0_7,0
santafe9_0_8,0
santafe9_0_9,0
santafe9_0_10,0.5
santafe9_0_11,0.5
santafe9_0_12,0
santafe9_0_13,1
santafe9_0_14,0
santafe9_0_15,0
rosario6_3_0,0
rosario6_3_1,0
rosario6_3_2,0
rosario6_3_3,0
rosario6_3_4,0
rosario6_3_5,1
rosario6_3_6,0.5
rosario6_3_7,0
rosario6_3_8,0
rosario6_3_9,1
rosario6_3_10,1
rosario6_3_11,0
rosario6_3_12,0
rosario6_3_13,0
rosario6_3_14,0
rosario6_3_15,0
santafe13_6_0,0
santafe13_6_1,0
santafe13_6_2,0
santafe13_6_3,0
santafe13_6_4,0
santafe13_6_5,0
santafe13_6_6,0
santafe13_6_7,0
santafe13_6_8,0
santafe13_6_9,0
santafe13_6_10,0
santafe13_6_11,0
santafe13_6_12,0
santafe13_6_13,0
santafe13_6_14,0
santafe13_6_15,0
santafe9_1_0,0
santafe9_1_1,0
santafe9_1_2,0
santafe9_1_3,0
santafe9_1_4,0
santafe9_1_5,0.5
santafe9_1_6,0
santafe9_1_7,1
santafe9_1_8,1
santafe9_1_9,0.5
santafe9_1_10,0
santafe9_1_11,0
santafe9_1_12,0
santafe9_1_13,0
santafe9_1_14,1
santafe9_1_15,0
parana3_4_0,0
parana3_4_1,0.5
parana3_4_2,0
parana3_4_3,0
parana3_4_4,0
parana3_4_5,0
parana3_4_6,0.5
parana3_4_7,0
parana3_4_8,0
parana3_4_9,0
parana3_4_10,0
parana3_4_11,0
parana3_4_12,0.5
parana3_4_13,0
parana3_4_14,0
parana3_4_15,0
santafe14_7_0,1
santafe14_7_1,0
santafe14_7_2,0
santafe14_7_3,0
santafe14_7_4,0.5
santafe14_7_5,0
santafe14_7_6,0
santafe14_7_7,0
santafe14_7_8,1
santafe14_7_9,0
santafe14_7_10,0
santafe14_7_11,0
santafe14_7_12,0
santafe14_7_13,1
santafe14_7_14,0
santafe14_7_15,0
cordoba1_6_0,1
cordoba1_6_1,0
cordoba1_6_2,1
cordoba1_6_3,1
cordoba1_6_4,0
cordoba1_6_5,0
cordoba1_6_6,1
cordoba1_6_7,0
cordoba1_6_8,0
cordoba1_6_9,0
cordoba1_6_10,0
cordoba1_6_11,0
cordoba1_6_12,0
cordoba1_6_13,0
cordoba1_6_14,0
cordoba1_6_15,0
rosario23_0_0,1
rosario23_0_1,1
rosario23_0_2,0
rosario23_0_3,0.5
rosario23_0_4,0
rosario23_0_5,1
rosario23_0_6,1
rosario23_0_7,0
rosario23_0_8,0
rosario23_0_9,1
rosario23_0_10,1
rosario23_0_11,0.5
rosario23_0_12,0
rosario23_0_13,1
rosario23_0_14,1
rosario23_0_15,0
rosario20_6_0,0
rosario20_6_1,0
rosario20_6_2,0
rosario20_6_3,0
rosario20_6_4,0
rosario20_6_5,0
rosario20_6_6,0
rosario20_6_7,1
rosario20_6_8,0
rosario20_6_9,0
rosario20_6_10,0
rosario20_6_11,0
rosario20_6_12,0
rosario20_6_13,0
rosario20_6_14,0
rosario20_6_15,0.5
cordoba19_3_0,0
cordoba19_3_1,0
cordoba19_3_2,0
cordoba19_3_3,0.5
cordoba19_3_4,0
cordoba19_3_5,0
cordoba19_3_6,0
cordoba19_3_7,0
cordoba19_3_8,0
cordoba19_3_9,0
cordoba19_3_10,0
cordoba19_3_11,0
cordoba19_3_12,0
cordoba19_3_13,0
cordoba19_3_14,0.5
cordoba19_3_15,0
santafe1_8_0,0.5
santafe1_8_1,0
santafe1_8_2,0.5
santafe1_8_3,0
santafe1_8_4,0
santafe1_8_5,0
santafe1_8_6,0
santafe1_8_7,0
santafe1_8_8,0
santafe1_8_9,0
santafe1_8_10,0
santafe1_8_11,0
santafe1_8_12,0
santafe1_8_13,0
santafe1_8_14,0
santafe1_8_15,0
santafe13_7_0,0
santafe13_7_1,0
santafe13_7_2,0
santafe13_7_3,0
santafe13_7_4,0
santafe13_7_5,0.5
santafe13_7_6,0
santafe13_7_7,0
santafe13_7_8,1
santafe13_7_9,0
santafe13_7_10,0
santafe13_7_11,0
santafe13_7_12,0
santafe13_7_13,0.5
santafe13_7_14,0
santafe13_7_15,0
cordoba17_6_0,0
cordoba17_6_1,0
cordoba17_6_2,0
cordoba17_6_3,0
cordoba17_6_4,0
cordoba17_6_5,0
cordoba17_6_6,0
cordoba17_6_7,0
cordoba17_6_8,0
cordoba17_6_9,0
cordoba17_6_10,0
cordoba17_6_11,0.5
cordoba17_6_12,0
cordoba17_6_13,0
cordoba17_6_14,1
cordoba17_6_15,0
rosario19_6_0,0.5
rosario19_6_1,1
rosario19_6_2,0
rosario19_6_3,0
rosario19_6_4,0.5
rosario19_6_5,0
