image,tag
santafe5_4_0,0
santafe5_4_1,0
santafe5_4_2,0
santafe5_4_3,0
santafe5_4_4,0
santafe5_4_5,0
santafe5_4_6,0
santafe5_4_7,0
santafe5_4_8,0
santafe5_4_9,0
santafe5_4_10,0
santafe5_4_11,0
santafe5_4_12,0
santafe5_4_13,0
santafe5_4_14,0
santafe5_4_15,0
santafe1_7_0,1
santafe1_7_1,0
santafe1_7_2,1
santafe1_7_3,0
santafe1_7_4,0
santafe1_7_5,0
santafe1_7_6,1
santafe1_7_7,0.5
santafe1_7_8,0
santafe1_7_9,0
santafe1_7_10,0
santafe1_7_11,0
santafe1_7_12,0
santafe1_7_13,0
santafe1_7_14,0
santafe1_7_15,0
parana5_8_0,1
parana5_8_1,0
parana5_8_2,0
parana5_8_3,0
parana5_8_4,0
parana5_8_5,0
parana5_8_6,0
parana5_8_7,0
parana5_8_8,0
parana5_8_9,0
parana5_8_10,0
parana5_8_11,0
parana5_8_12,0
parana5_8_13,0
parana5_8_14,0
parana5_8_15,0
parana5_5_0,1
parana5_5_1,0
parana5_5_2,0
parana5_5_3,0
parana5_5_4,0
parana5_5_5,0
parana5_5_6,0
parana5_5_7,0
parana5_5_8,0
parana5_5_9,1
parana5_5_10,1
parana5_5_11,1
parana5_5_12,1
parana5_5_13,1
parana5_5_14,1
parana5_5_15,0
rosario12_0_0,0
rosario12_0_1,0
rosario12_0_2,0
rosario12_0_3,0
rosario12_0_4,0
rosario12_0_5,0
rosario12_0_6,0
rosario12_0_7,0
rosario12_0_8,0
rosario12_0_9,0
rosario12_0_10,0
rosario12_0_11,0
rosario12_0_12,0
rosario12_0_13,0
rosario12_0_14,0
rosario12_0_15,0
santafe4_1_0,0
santafe4_1_1,0
santafe4_1_2,0
santafe4_1_3,0
santafe4_1_4,0
santafe4_1_5,0
santafe4_1_6,0
santafe4_1_7,1
santafe4_1_8,0
santafe4_1_9,0
santafe4_1_10,0
santafe4_1_11,1
santafe4_1_12,0
santafe4_1_13,0
santafe4_1_14,0
santafe4_1_15,1
cordoba18_2_0,0
cordoba18_2_1,0
cordoba18_2_2,0
cordoba18_2_3,0
cordoba18_2_4,0
cordoba18_2_5,1
cordoba18_2_6,0
cordoba18_2_7,0
cordoba18_2_8,0
cordoba18_2_9,0.5
cordoba18_2_10,1
cordoba18_2_11,0
cordoba18_2_12,1
cordoba18_2_13,1
cordoba18_2_14,1
cordoba18_2_15,0
parana6_4_0,0
parana6_4_1,0
parana6_4_2,0
parana6_4_3,0
parana6_4_4,1
parana6_4_5,0
parana6_4_6,0
parana6_4_7,0
parana6_4_8,1
parana6_4_9,1
parana6_4_10,0
parana6_4_11,0
parana6_4_12,0
parana6_4_13,0
parana6_4_14,1
parana6_4_15,0
rosario11_4_0,1
rosario11_4_1,0
rosario11_4_2,0
rosario11_4_3,0
rosario11_4_4,1
rosario11_4_5,0
rosario11_4_6,1
rosario11_4_7,0
rosario11_4_8,1
rosario11_4_9,1
rosario11_4_10,1
rosario11_4_11,0
rosario11_4_12,1
rosario11_4_13,1
rosario11_4_14,1
rosario11_4_15,1
rosario3_1_0,0
rosario3_1_1,0
rosario3_1_2,0
rosario3_1_3,0
rosario3_1_4,0
rosario3_1_5,0
rosario3_1_6,0
rosario3_1_7,0
rosario3_1_8,0
rosario3_1_9,0
rosario3_1_10,0
rosario3_1_11,0
rosario3_1_12,0
rosario3_1_13,0.5
rosario3_1_14,0
rosario3_1_15,0
rosario16_1_0,0.5
rosario16_1_1,0
rosario16_1_2,0
rosario16_1_3,0
rosario16_1_4,0
rosario16_1_5,0
rosario16_1_6,1
rosario16_1_7,0
rosario16_1_8,1
rosario16_1_9,0
rosario16_1_10,1
rosario16_1_11,0
rosario16_1_12,0
rosario16_1_13,1
rosario16_1_14,0
rosario16_1_15,0
rosario8_4_0,0
rosario8_4_1,0
rosario8_4_2,0
rosario8_4_3,0
rosario8_4_4,0
rosario8_4_5,0
rosario8_4_6,0
rosario8_4_7,0
rosario8_4_8,0
rosario8_4_9,0
rosario8_4_10,0
rosario8_4_11,0
rosario8_4_12,0
rosario8_4_13,0
rosario8_4_14,0
rosario8_4_15,0
rosario6_5_0,0
rosario6_5_1,0
rosario6_5_2,1
rosario6_5_3,0
rosario6_5_4,0
rosario6_5_5,1
rosario6_5_6,0
rosario6_5_7,0.5
rosario6_5_8,0
rosario6_5_9,0
rosario6_5_10,0
rosario6_5_11,1
rosario6_5_12,0
rosario6_5_13,1
rosario6_5_14,1
rosario6_5_15,0
rosario1_6_0,0
rosario1_6_1,0.5
rosario1_6_2,0
rosario1_6_3,0
rosario1_6_4,0
rosario1_6_5,0
rosario1_6_6,0
rosario1_6_7,0
rosario1_6_8,0
rosario1_6_9,0
rosario1_6_10,0
rosario1_6_11,0
rosario1_6_12,0
rosario1_6_13,0
rosario1_6_14,0
rosario1_6_15,0
cordoba16_7_0,1
cordoba16_7_1,0
cordoba16_7_2,1
cordoba16_7_3,0
cordoba16_7_4,0
cordoba16_7_5,0.5
cordoba16_7_6,0
cordoba16_7_7,1
cordoba16_7_8,0
cordoba16_7_9,0
cordoba16_7_10,0
cordoba16_7_11,0
cordoba16_7_12,1
cordoba16_7_13,0.5
cordoba16_7_14,0
cordoba16_7_15,0
parana2_7_0,0
parana2_7_1,0
parana2_7_2,0
parana2_7_3,0
parana2_7_4,0
parana2_7_5,0
parana2_7_6,0
parana2_7_7,0
parana2_7_8,0
parana2_7_9,0.5
parana2_7_10,0.5
parana2_7_11,0
parana2_7_12,0
parana2_7_13,0
parana2_7_14,0
parana2_7_15,0
cordoba7_6_0,0
cordoba7_6_1,0
cordoba7_6_2,1
cordoba7_6_3,1
cordoba7_6_4,0
cordoba7_6_5,0
cordoba7_6_6,0
cordoba7_6_7,0
cordoba7_6_8,0
cordoba7_6_9,0
cordoba7_6_10,0
cordoba7_6_11,1
cordoba7_6_12,0
cordoba7_6_13,0
cordoba7_6_14,0
cordoba7_6_15,0
rosario4_7_0,1
rosario4_7_1,0
rosario4_7_2,0
rosario4_7_3,0.5
rosario4_7_4,0
rosario4_7_5,0
rosario4_7_6,0
rosario4_7_7,0
rosario4_7_8,1
rosario4_7_9,0
rosario4_7_10,0
rosario4_7_11,0
rosario4_7_12,0.5
rosario4_7_13,0
rosario4_7_14,0
rosario4_7_15,1
