image,tag
santafe1_7_0,1
santafe1_7_1,0
santafe1_7_2,1
santafe1_7_3,0.5
santafe1_7_4,0
santafe1_7_5,0
santafe1_7_6,0.5
santafe1_7_7,1
santafe1_7_8,0
santafe1_7_9,0
santafe1_7_10,0
santafe1_7_11,0
santafe1_7_12,0
santafe1_7_13,0
santafe1_7_14,0
santafe1_7_15,0
rosario5_0_0,0.5
rosario5_0_1,0.5
rosario5_0_2,0.5
rosario5_0_3,0.5
rosario5_0_4,0.5
rosario5_0_5,0.5
rosario5_0_6,0.5
rosario5_0_7,0.5
rosario5_0_8,0.5
rosario5_0_9,0.5
rosario5_0_10,0.5
rosario5_0_11,0.5
rosario5_0_12,0.5
rosario5_0_13,0.5
rosario5_0_14,0.5
rosario5_0_15,0.5
rosario1_5_0,0.5
rosario1_5_1,0.5
rosario1_5_2,0.5
rosario1_5_3,0.5
rosario1_5_4,0.5
rosario1_5_5,0.5
rosario1_5_6,0.5
rosario1_5_7,0.5
rosario1_5_8,0.5
rosario1_5_9,0.5
rosario1_5_10,0.5
rosario1_5_11,0.5
rosario1_5_12,0.5
rosario1_5_13,0.5
rosario1_5_14,0.5
rosario1_5_15,0.5
rosario1_0_0,0
rosario1_0_1,0
rosario1_0_2,0
rosario1_0_3,0
rosario1_0_4,0
rosario1_0_5,0
rosario1_0_6,0
rosario1_0_7,0
rosario1_0_8,0
rosario1_0_9,0
rosario1_0_10,0
rosario1_0_11,0
rosario1_0_12,0
rosario1_0_13,0
rosario1_0_14,0
rosario1_0_15,0
santafe8_3_0,0.5
santafe8_3_1,0
santafe8_3_2,0.5
santafe8_3_3,1
santafe8_3_4,0
santafe8_3_5,1
santafe8_3_6,0.5
santafe8_3_7,0
santafe8_3_8,0.5
santafe8_3_9,1
santafe8_3_10,0.5
santafe8_3_11,0
santafe8_3_12,0.5
santafe8_3_13,1
santafe8_3_14,0.5
santafe8_3_15,0
santafe1_6_0,0
santafe1_6_1,0
santafe1_6_2,0.5
santafe1_6_3,1
santafe1_6_4,0
santafe1_6_5,0
santafe1_6_6,0
santafe1_6_7,0
santafe1_6_8,0
santafe1_6_9,0
santafe1_6_10,0
santafe1_6_11,0
santafe1_6_12,0
santafe1_6_13,0
santafe1_6_14,0
santafe1_6_15,0
rosario28_8_0,0
rosario28_8_1,0.5
rosario28_8_2,0
rosario28_8_3,0
rosario28_8_4,0
rosario28_8_5,0
rosario28_8_6,1
rosario28_8_7,0
rosario28_8_8,0
rosario28_8_9,0.5
rosario28_8_10,0.5
rosario28_8_11,0.5
rosario28_8_12,0
rosario28_8_13,1
rosario28_8_14,1
rosario28_8_15,0.5
rosario5_8_0,0
rosario5_8_1,0
rosario5_8_2,0
rosario5_8_3,0
rosario5_8_4,0
rosario5_8_5,0
rosario5_8_6,0
rosario5_8_7,0
rosario5_8_8,0
rosario5_8_9,0
rosario5_8_10,0
rosario5_8_11,0
rosario5_8_12,0
rosario5_8_13,0
rosario5_8_14,0
rosario5_8_15,0
rosario21_4_0,0.5
rosario21_4_1,0.5
rosario21_4_2,0.5
rosario21_4_3,0.5
rosario21_4_4,0.5
rosario21_4_5,0.5
rosario21_4_6,0.5
rosario21_4_7,0.5
rosario21_4_8,1
rosario21_4_9,1
rosario21_4_10,1
rosario21_4_11,1
rosario21_4_12,1
rosario21_4_13,1
rosario21_4_14,1
rosario21_4_15,1
cordoba16_0_0,0
cordoba16_0_1,0
cordoba16_0_2,0
cordoba16_0_3,0
cordoba16_0_4,0
cordoba16_0_5,0
cordoba16_0_6,0
cordoba16_0_7,0
cordoba16_0_8,0
cordoba16_0_9,1
cordoba16_0_10,1
cordoba16_0_11,1
cordoba16_0_12,0
cordoba16_0_13,1
cordoba16_0_14,1
cordoba16_0_15,1
rosario28_7_0,0.5
rosario28_7_1,0.5
rosario28_7_2,0.5
rosario28_7_3,0.5
rosario28_7_4,0
rosario28_7_5,0
rosario28_7_6,1
rosario28_7_7,0.5
rosario28_7_8,0.5
rosario28_7_9,0.5
rosario28_7_10,0.5
rosario28_7_11,0.5
rosario28_7_12,0.5
rosario28_7_13,0.5
rosario28_7_14,1
rosario28_7_15,0.5
rosario25_8_0,0
rosario25_8_1,1
rosario25_8_2,0.5
rosario25_8_3,0
rosario25_8_4,0.5
rosario25_8_5,0
rosario25_8_6,0
rosario25_8_7,0
rosario25_8_8,1
rosario25_8_9,0
rosario25_8_10,0
rosario25_8_11,0
rosario25_8_12,0.5
rosario25_8_13,0
rosario25_8_14,0
rosario25_8_15,0
