image,tag
rosario2_5_0,1
rosario2_5_1,0
rosario2_5_2,0
rosario2_5_3,0
rosario2_5_4,0
rosario2_5_5,0
rosario2_5_6,0
rosario2_5_7,0
rosario2_5_8,0
rosario2_5_9,0
rosario2_5_10,0
rosario2_5_11,0
rosario2_5_12,0
rosario2_5_13,0
rosario2_5_14,0
rosario2_5_15,0
rosario28_3_0,0
rosario28_3_1,0
rosario28_3_2,0
rosario28_3_3,0
rosario28_3_4,0
rosario28_3_5,0
rosario28_3_6,0
rosario28_3_7,0
rosario28_3_8,0
rosario28_3_9,0
rosario28_3_10,0
rosario28_3_11,0
rosario28_3_12,0
rosario28_3_13,0
rosario28_3_14,0
rosario28_3_15,0
parana1_5_0,0
parana1_5_1,0
parana1_5_2,0
parana1_5_3,0
parana1_5_4,0
parana1_5_5,0
parana1_5_6,0
parana1_5_7,0
parana1_5_8,1
parana1_5_9,0
parana1_5_10,0
parana1_5_11,0
parana1_5_12,0
parana1_5_13,0
parana1_5_14,0
parana1_5_15,0
santafe4_1_0,0
santafe4_1_1,0
santafe4_1_2,1
santafe4_1_3,0
santafe4_1_4,0
santafe4_1_5,0
santafe4_1_6,0
santafe4_1_7,0
santafe4_1_8,0
santafe4_1_9,0
santafe4_1_10,0
santafe4_1_11,0
santafe4_1_12,0
santafe4_1_13,0
santafe4_1_14,0
santafe4_1_15,1
santafe4_8_0,0
santafe4_8_1,0
santafe4_8_2,0
santafe4_8_3,0
santafe4_8_4,0
santafe4_8_5,0
santafe4_8_6,0
santafe4_8_7,0
santafe4_8_8,0
santafe4_8_9,0
santafe4_8_10,0
santafe4_8_11,0
santafe4_8_12,0
santafe4_8_13,0
santafe4_8_14,0
santafe4_8_15,0
cordoba15_4_0,0
cordoba15_4_1,0
cordoba15_4_2,0
cordoba15_4_3,0
cordoba15_4_4,0
cordoba15_4_5,0
cordoba15_4_6,0
cordoba15_4_7,0.5
cordoba15_4_8,0.5
cordoba15_4_9,1
cordoba15_4_10,0
cordoba15_4_11,0
cordoba15_4_12,1
cordoba15_4_13,1
cordoba15_4_14,0
cordoba15_4_15,0
santafe4_2_0,0
santafe4_2_1,0
santafe4_2_2,0
santafe4_2_3,0
santafe4_2_4,0
santafe4_2_5,0
santafe4_2_6,0
santafe4_2_7,0
santafe4_2_8,0
santafe4_2_9,0
santafe4_2_10,0
santafe4_2_11,0
santafe4_2_12,0
santafe4_2_13,0
santafe4_2_14,0
santafe4_2_15,0
santafe14_3_0,0
santafe14_3_1,0
santafe14_3_2,0
santafe14_3_3,0
santafe14_3_4,0
santafe14_3_5,0
santafe14_3_6,0
santafe14_3_7,0
santafe14_3_8,0
santafe14_3_9,0
santafe14_3_10,0
santafe14_3_11,0
santafe14_3_12,0
santafe14_3_13,0
santafe14_3_14,0
santafe14_3_15,0
rosario10_0_0,0
rosario10_0_1,0
rosario10_0_2,0
rosario10_0_3,0
rosario10_0_4,0
rosario10_0_5,0
rosario10_0_6,0
rosario10_0_7,0
rosario10_0_8,0
rosario10_0_9,0
rosario10_0_10,0
rosario10_0_11,0
rosario10_0_12,0
rosario10_0_13,0
rosario10_0_14,0
rosario10_0_15,0
santafe3_3_0,0
santafe3_3_1,0
santafe3_3_2,0
santafe3_3_3,0
santafe3_3_4,0
santafe3_3_5,0
santafe3_3_6,0
santafe3_3_7,0
santafe3_3_8,0
santafe3_3_9,0
santafe3_3_10,0
santafe3_3_11,0
santafe3_3_12,0
santafe3_3_13,0
santafe3_3_14,0
santafe3_3_15,0
cordoba6_1_0,0
cordoba6_1_1,0
cordoba6_1_2,0
cordoba6_1_3,0
cordoba6_1_4,0
cordoba6_1_5,0
cordoba6_1_6,0
cordoba6_1_7,0
cordoba6_1_8,0
cordoba6_1_9,0
cordoba6_1_10,0
cordoba6_1_11,0
cordoba6_1_12,0
cordoba6_1_13,0
cordoba6_1_14,0
cordoba6_1_15,0
cordoba2_2_0,0
cordoba2_2_1,0
cordoba2_2_2,0
cordoba2_2_3,0
cordoba2_2_4,0
cordoba2_2_5,0
cordoba2_2_6,0
cordoba2_2_7,0
cordoba2_2_8,0
cordoba2_2_9,0
cordoba2_2_10,0
cordoba2_2_11,0
cordoba2_2_12,1
cordoba2_2_13,0
cordoba2_2_14,0
cordoba2_2_15,0
parana7_5_0,0
parana7_5_1,0
parana7_5_2,0
parana7_5_3,0
parana7_5_4,0
parana7_5_5,0
parana7_5_6,1
parana7_5_7,1
parana7_5_8,0
parana7_5_9,0
parana7_5_10,0
parana7_5_11,0
parana7_5_12,0
parana7_5_13,0
parana7_5_14,0
parana7_5_15,0
cordoba19_7_0,0
cordoba19_7_1,0
cordoba19_7_2,0
cordoba19_7_3,1
cordoba19_7_4,0
cordoba19_7_5,0
cordoba19_7_6,0
cordoba19_7_7,0
cordoba19_7_8,0
