image,tag
rosario24_4_0,0.5
rosario24_4_1,0
rosario24_4_2,1
rosario24_4_3,0.5
rosario24_4_4,0
rosario24_4_5,0
rosario24_4_6,1
rosario24_4_7,1
rosario24_4_8,0
rosario24_4_9,1
rosario24_4_10,0.5
rosario24_4_11,0.5
rosario24_4_12,0
rosario24_4_13,0
rosario24_4_14,0
rosario24_4_15,1
santafe14_4_0,0.5
santafe14_4_1,0.5
santafe14_4_2,0.5
santafe14_4_3,0.5
santafe14_4_4,0.5
santafe14_4_5,0.5
santafe14_4_6,0.5
santafe14_4_7,0.5
santafe14_4_8,0.5
santafe14_4_9,0.5
santafe14_4_10,0.5
santafe14_4_11,0.5
santafe14_4_12,0.5
santafe14_4_13,0.5
santafe14_4_14,0.5
santafe14_4_15,0.5
santafe8_5_0,0
santafe8_5_1,0
santafe8_5_2,0
santafe8_5_3,0
santafe8_5_4,0
santafe8_5_5,0
santafe8_5_6,0
santafe8_5_7,0
santafe8_5_8,0
santafe8_5_9,0
santafe8_5_10,0
santafe8_5_11,0
santafe8_5_12,0
santafe8_5_13,0
santafe8_5_14,0
santafe8_5_15,0
rosario4_0_0,0
rosario4_0_1,0
rosario4_0_2,0
rosario4_0_3,0
rosario4_0_4,0
rosario4_0_5,0
rosario4_0_6,0
rosario4_0_7,0
rosario4_0_8,0
rosario4_0_9,0
rosario4_0_10,0
rosario4_0_11,0
rosario4_0_12,0
rosario4_0_13,0
rosario4_0_14,0
rosario4_0_15,0
rosario26_3_0,0
rosario26_3_1,0
rosario26_3_2,0
rosario26_3_3,0
rosario26_3_4,0
rosario26_3_5,0
rosario26_3_6,0
rosario26_3_7,0
rosario26_3_8,0
rosario26_3_9,0
rosario26_3_10,0
rosario26_3_11,0
rosario26_3_12,0
rosario26_3_13,0
rosario26_3_14,0
rosario26_3_15,0
rosario3_2_0,1
rosario3_2_1,0.5
rosario3_2_2,0.5
rosario3_2_3,0
rosario3_2_4,0.5
rosario3_2_5,1
rosario3_2_6,0
rosario3_2_7,0.5
rosario3_2_8,0.5
rosario3_2_9,0
rosario3_2_10,1
rosario3_2_11,0.5
rosario3_2_12,0
rosario3_2_13,0.5
rosario3_2_14,0.5
rosario3_2_15,1
santafe13_2_0,1
santafe13_2_1,0.5
santafe13_2_2,0.5
santafe13_2_3,0
santafe13_2_4,1
santafe13_2_5,0.5
santafe13_2_6,0.5
santafe13_2_7,0
santafe13_2_8,1
santafe13_2_9,0.5
santafe13_2_10,0.5
santafe13_2_11,0
santafe13_2_12,1
santafe13_2_13,0.5
santafe13_2_14,0.5
santafe13_2_15,0
rosario28_4_0,0
rosario28_4_1,0
rosario28_4_2,0
rosario28_4_3,0
rosario28_4_4,0
rosario28_4_5,0
rosario28_4_6,0
rosario28_4_7,0
rosario28_4_8,0
rosario28_4_9,0
rosario28_4_10,0
rosario28_4_11,0
rosario28_4_12,0
rosario28_4_13,0
rosario28_4_14,0
rosario28_4_15,0
cordoba6_7_0,1
cordoba6_7_1,1
cordoba6_7_2,1
cordoba6_7_3,1
cordoba6_7_4,1
cordoba6_7_5,1
cordoba6_7_6,1
cordoba6_7_7,1
cordoba6_7_8,1
cordoba6_7_9,1
cordoba6_7_10,1
cordoba6_7_11,1
cordoba6_7_12,1
cordoba6_7_13,1
cordoba6_7_14,1
cordoba6_7_15,1
santafe12_7_0,1
santafe12_7_1,1
santafe12_7_2,1
santafe12_7_3,1
santafe12_7_4,1
santafe12_7_5,1
santafe12_7_6,1
santafe12_7_7,1
santafe12_7_8,1
santafe12_7_9,1
santafe12_7_10,1
santafe12_7_11,1
santafe12_7_12,1
santafe12_7_13,1
santafe12_7_14,1
santafe12_7_15,1
