image,tag
parana8_2_0,0
parana8_2_1,0
parana8_2_2,1
parana8_2_3,0
parana8_2_4,0
parana8_2_5,0
parana8_2_6,0
parana8_2_7,0
parana8_2_8,0
parana8_2_9,0
parana8_2_10,0
parana8_2_11,0
parana8_2_12,0
parana8_2_13,0
parana8_2_14,0
parana8_2_15,0
cordoba15_6_0,0.5
cordoba15_6_1,0.5
cordoba15_6_2,1
cordoba15_6_3,0.5
cordoba15_6_4,0.5
cordoba15_6_5,0
cordoba15_6_6,0
cordoba15_6_7,0
cordoba15_6_8,1
cordoba15_6_9,0
cordoba15_6_10,0
cordoba15_6_11,0.5
cordoba15_6_12,0.5
cordoba15_6_13,0
cordoba15_6_14,0
cordoba15_6_15,0
santafe1_3_0,0
santafe1_3_1,0
santafe1_3_2,0
santafe1_3_3,0
santafe1_3_4,0
santafe1_3_5,0
santafe1_3_6,1
santafe1_3_7,1
santafe1_3_8,0
santafe1_3_9,0
santafe1_3_10,1
santafe1_3_11,1
santafe1_3_12,0
santafe1_3_13,0
santafe1_3_14,0
santafe1_3_15,1
cordoba10_3_0,0
cordoba10_3_1,0
cordoba10_3_2,0
cordoba10_3_3,0
cordoba10_3_4,0
cordoba10_3_5,0
cordoba10_3_6,0
cordoba10_3_7,0
cordoba10_3_8,0
cordoba10_3_9,0
cordoba10_3_10,0
cordoba10_3_11,0
cordoba10_3_12,0.5
cordoba10_3_13,1
cordoba10_3_14,1
cordoba10_3_15,1
parana6_4_0,0
parana6_4_1,0
parana6_4_2,0
parana6_4_3,0
parana6_4_4,1
parana6_4_5,0.5
parana6_4_6,0
parana6_4_7,0
parana6_4_8,1
parana6_4_9,0.5
parana6_4_10,1
parana6_4_11,1
parana6_4_12,0
parana6_4_13,0
parana6_4_14,0
parana6_4_15,0
