image,tag
santafe6_0_0,0
santafe6_0_1,0
santafe6_0_2,1
santafe6_0_3,0
santafe6_0_4,0
santafe6_0_5,0
santafe6_0_6,0
santafe6_0_7,0
santafe6_0_8,0
santafe6_0_9,0
santafe6_0_10,0
santafe6_0_11,1
santafe6_0_12,0
santafe6_0_13,0
santafe6_0_14,0
santafe6_0_15,1
parana9_4_0,0
parana9_4_1,0
parana9_4_2,0
parana9_4_3,0
parana9_4_4,0
parana9_4_5,1
parana9_4_6,0
parana9_4_7,0
parana9_4_8,0
parana9_4_9,0
parana9_4_10,0
parana9_4_11,0
parana9_4_12,0
parana9_4_13,0
parana9_4_14,0
parana9_4_15,1
rosario24_5_0,1
rosario24_5_1,0
rosario24_5_2,0
rosario24_5_3,0
rosario24_5_4,1
rosario24_5_5,0
rosario24_5_6,1
rosario24_5_7,0
rosario24_5_8,1
rosario24_5_9,1
rosario24_5_10,0
rosario24_5_11,0
rosario24_5_12,0
rosario24_5_13,1
rosario24_5_14,1
rosario24_5_15,0
rosario18_0_0,0
rosario18_0_1,0
rosario18_0_2,0
rosario18_0_3,0
rosario18_0_4,0
rosario18_0_5,0
rosario18_0_6,0
rosario18_0_7,0
rosario18_0_8,0
rosario18_0_9,1
rosario18_0_10,1
rosario18_0_11,0
rosario18_0_12,0
rosario18_0_13,0
rosario18_0_14,1
rosario18_0_15,0
cordoba18_4_0,0
cordoba18_4_1,0
cordoba18_4_2,0
cordoba18_4_3,1
cordoba18_4_4,0
cordoba18_4_5,0
cordoba18_4_6,0
cordoba18_4_7,1
cordoba18_4_8,1
cordoba18_4_9,0
cordoba18_4_10,0
cordoba18_4_11,1
cordoba18_4_12,1
cordoba18_4_13,0
cordoba18_4_14,0
cordoba18_4_15,0
rosario11_3_0,1
rosario11_3_1,1
rosario11_3_2,0
rosario11_3_3,1
rosario11_3_4,0
rosario11_3_5,0
rosario11_3_6,0
rosario11_3_7,1
rosario11_3_8,0
rosario11_3_9,1
rosario11_3_10,1
rosario11_3_11,0
rosario11_3_12,0
rosario11_3_13,0
rosario11_3_14,0
rosario11_3_15,0
cordoba18_8_0,0
cordoba18_8_1,1
cordoba18_8_2,0
cordoba18_8_3,0
cordoba18_8_4,0
cordoba18_8_5,0
cordoba18_8_6,1
cordoba18_8_7,1
cordoba18_8_8,0
cordoba18_8_9,0
cordoba18_8_10,1
cordoba18_8_11,1
cordoba18_8_12,0
cordoba18_8_13,0
cordoba18_8_14,0
cordoba18_8_15,0
parana1_7_0,0
parana1_7_1,0
parana1_7_2,0
parana1_7_3,0
parana1_7_4,0
parana1_7_5,0
parana1_7_6,0
parana1_7_7,0
parana1_7_8,0
parana1_7_9,0
parana1_7_10,0
parana1_7_11,0
parana1_7_12,0
parana1_7_13,0
parana1_7_14,0
parana1_7_15,0
santafe3_4_0,0
santafe3_4_1,0
santafe3_4_2,0
santafe3_4_3,0
santafe3_4_4,0
santafe3_4_5,0
santafe3_4_6,0
santafe3_4_7,0
santafe3_4_8,0
santafe3_4_9,0
santafe3_4_10,0
santafe3_4_11,0
santafe3_4_12,0
santafe3_4_13,0
santafe3_4_14,0
santafe3_4_15,0
rosario23_6_0,0
rosario23_6_1,0
rosario23_6_2,1
rosario23_6_3,1
rosario23_6_4,0
rosario23_6_5,0
rosario23_6_6,1
rosario23_6_7,0
rosario23_6_8,0
rosario23_6_9,0
rosario23_6_10,0
rosario23_6_11,1
rosario23_6_12,0
rosario23_6_13,0
rosario23_6_14,1
rosario23_6_15,0
rosario20_7_0,0
rosario20_7_1,0
rosario20_7_2,0
rosario20_7_3,0
rosario20_7_4,0
rosario20_7_5,0
rosario20_7_6,0
rosario20_7_7,0
rosario20_7_8,0
rosario20_7_9,0
rosario20_7_10,0
rosario20_7_11,0
rosario20_7_12,0
rosario20_7_13,0
rosario20_7_14,0
rosario20_7_15,0
rosario26_3_0,0
rosario26_3_1,0
rosario26_3_2,0
rosario26_3_3,0
rosario26_3_4,0
rosario26_3_5,0
rosario26_3_6,1
rosario26_3_7,1
rosario26_3_8,0
rosario26_3_9,0
rosario26_3_10,0
rosario26_3_11,0
rosario26_3_12,0
rosario26_3_13,0
rosario26_3_14,1
rosario26_3_15,1
cordoba16_4_0,0
cordoba16_4_1,1
cordoba16_4_2,1
cordoba16_4_3,1
cordoba16_4_4,1
cordoba16_4_5,0
cordoba16_4_6,1
cordoba16_4_7,0
cordoba16_4_8,0
cordoba16_4_9,0
cordoba16_4_10,0
cordoba16_4_11,0
cordoba16_4_12,0
cordoba16_4_13,0
cordoba16_4_14,1
cordoba16_4_15,0
rosario27_7_0,1
rosario27_7_1,1
rosario27_7_2,1
rosario27_7_3,1
rosario27_7_4,0
rosario27_7_5,0
rosario27_7_6,1
rosario27_7_7,1
rosario27_7_8,0
rosario27_7_9,0
rosario27_7_10,0
rosario27_7_11,0
rosario27_7_12,0
rosario27_7_13,0
rosario27_7_14,0
rosario27_7_15,0
santafe8_2_0,0
santafe8_2_1,0
santafe8_2_2,0
santafe8_2_3,0
santafe8_2_4,0
santafe8_2_5,0
santafe8_2_6,0
santafe8_2_7,0
santafe8_2_8,1
santafe8_2_9,1
santafe8_2_10,0
santafe8_2_11,0
santafe8_2_12,1
santafe8_2_13,0
santafe8_2_14,0
santafe8_2_15,0
santafe14_6_0,0
santafe14_6_1,0
santafe14_6_2,0
santafe14_6_3,1
santafe14_6_4,0
santafe14_6_5,0
santafe14_6_6,0
santafe14_6_7,1
santafe14_6_8,0
santafe14_6_9,0
santafe14_6_10,0
santafe14_6_11,0
santafe14_6_12,0
santafe14_6_13,0
santafe14_6_14,0
santafe14_6_15,0
rosario11_4_0,1
rosario11_4_1,0
rosario11_4_2,0
rosario11_4_3,0
rosario11_4_4,1
rosario11_4_5,1
rosario11_4_6,0
rosario11_4_7,0
rosario11_4_8,1
rosario11_4_9,1
rosario11_4_10,1
rosario11_4_11,0
rosario11_4_12,0
rosario11_4_13,0
rosario11_4_14,0
rosario11_4_15,1
cordoba3_8_0,1
cordoba3_8_1,0
cordoba3_8_2,0
cordoba3_8_3,0
cordoba3_8_4,0
cordoba3_8_5,0
cordoba3_8_6,0
cordoba3_8_7,0
cordoba3_8_8,1
cordoba3_8_9,1
cordoba3_8_10,0
cordoba3_8_11,1
cordoba3_8_12,0
cordoba3_8_13,0
cordoba3_8_14,0
cordoba3_8_15,0
rosario19_8_0,0
rosario19_8_1,0
rosario19_8_2,0
rosario19_8_3,0
rosario19_8_4,0
rosario19_8_5,0
rosario19_8_6,1
rosario19_8_7,0
rosario19_8_8,0
rosario19_8_9,0
rosario19_8_10,0
rosario19_8_11,0
rosario19_8_12,1
rosario19_8_13,1
rosario19_8_14,0
rosario19_8_15,1
rosario24_7_0,0
rosario24_7_1,1
rosario24_7_2,1
rosario24_7_3,1
rosario24_7_4,0
rosario24_7_5,0
rosario24_7_6,0
rosario24_7_7,0
rosario24_7_8,0
rosario24_7_9,0
rosario24_7_10,0
rosario24_7_11,1
rosario24_7_12,0
rosario24_7_13,1
rosario24_7_14,0
rosario24_7_15,1
cordoba17_4_0,0
cordoba17_4_1,0
cordoba17_4_2,1
cordoba17_4_3,1
cordoba17_4_4,0
cordoba17_4_5,0
cordoba17_4_6,0
cordoba17_4_7,0
cordoba17_4_8,0
