image,tag
cordoba15_2_0,0
cordoba15_2_1,0
cordoba15_2_2,0
cordoba15_2_3,0
cordoba15_2_4,0
cordoba15_2_5,0
cordoba15_2_6,0
cordoba15_2_7,0
cordoba15_2_8,0
cordoba15_2_9,0.5
cordoba15_2_10,0
cordoba15_2_11,0.5
cordoba15_2_12,0.5
cordoba15_2_13,0.5
cordoba15_2_14,0.5
cordoba15_2_15,0.5
santafe14_3_0,0
santafe14_3_1,0
santafe14_3_2,0.5
santafe14_3_3,0.5
santafe14_3_4,0
santafe14_3_5,0
santafe14_3_6,0
santafe14_3_7,1
santafe14_3_8,0
santafe14_3_9,0
santafe14_3_10,0.5
santafe14_3_11,0
santafe14_3_12,0
santafe14_3_13,0
santafe14_3_14,0
santafe14_3_15,0.5
rosario23_3_0,0
rosario23_3_1,0.5
rosario23_3_2,0.5
rosario23_3_3,1
rosario23_3_4,0.5
rosario23_3_5,0
rosario23_3_6,0
rosario23_3_7,1
rosario23_3_8,0
rosario23_3_9,0
rosario23_3_10,0
rosario23_3_11,1
rosario23_3_12,0
rosario23_3_13,0
rosario23_3_14,1
rosario23_3_15,1
cordoba4_6_0,0
cordoba4_6_1,0
cordoba4_6_2,0
cordoba4_6_3,0
cordoba4_6_4,0
cordoba4_6_5,0
cordoba4_6_6,0
cordoba4_6_7,0
cordoba4_6_8,0
cordoba4_6_9,1
cordoba4_6_10,0
cordoba4_6_11,0
cordoba4_6_12,0.5
cordoba4_6_13,1
cordoba4_6_14,0
cordoba4_6_15,0.5
cordoba19_0_0,0
cordoba19_0_1,0
cordoba19_0_2,0
cordoba19_0_3,0
cordoba19_0_4,0.5
cordoba19_0_5,0
cordoba19_0_6,0
cordoba19_0_7,0
cordoba19_0_8,0.5
cordoba19_0_9,0
cordoba19_0_10,0
cordoba19_0_11,0
cordoba19_0_12,0.5
cordoba19_0_13,0
cordoba19_0_14,1
cordoba19_0_15,0
santafe3_3_0,0
santafe3_3_1,0
santafe3_3_2,0
santafe3_3_3,0
santafe3_3_4,0
santafe3_3_5,0
santafe3_3_6,0
santafe3_3_7,0.5
santafe3_3_8,0
santafe3_3_9,0
santafe3_3_10,0.5
santafe3_3_11,0.5
santafe3_3_12,0
santafe3_3_13,0
santafe3_3_14,0
santafe3_3_15,0.5
santafe11_1_0,1
santafe11_1_1,0
santafe11_1_2,0
