image,tag
santafe14_6_0,0
santafe14_6_1,0
santafe14_6_2,0
santafe14_6_3,1
santafe14_6_4,0
santafe14_6_5,0
santafe14_6_6,0
santafe14_6_7,1
santafe14_6_8,0
santafe14_6_9,0
santafe14_6_10,0
santafe14_6_11,1
santafe14_6_12,0
santafe14_6_13,0
santafe14_6_14,0
santafe14_6_15,1
cordoba1_6_0,1
cordoba1_6_1,1
cordoba1_6_2,1
cordoba1_6_3,1
cordoba1_6_4,0.5
cordoba1_6_5,1
cordoba1_6_6,1
cordoba1_6_7,0
cordoba1_6_8,1
cordoba1_6_9,1
cordoba1_6_10,0
cordoba1_6_11,0
cordoba1_6_12,0.5
cordoba1_6_13,0
cordoba1_6_14,0
cordoba1_6_15,0
cordoba10_7_0,1
cordoba10_7_1,1
cordoba10_7_2,1
cordoba10_7_3,1
cordoba10_7_4,0.5
cordoba10_7_5,1
cordoba10_7_6,1
cordoba10_7_7,0
cordoba10_7_8,1
cordoba10_7_9,1
cordoba10_7_10,0
cordoba10_7_11,0
cordoba10_7_12,0.5
cordoba10_7_13,0
cordoba10_7_14,0
cordoba10_7_15,0
cordoba5_1_0,1
cordoba5_1_1,1
cordoba5_1_2,0
cordoba5_1_3,0
cordoba5_1_4,1
cordoba5_1_5,1
cordoba5_1_6,0
cordoba5_1_7,1
cordoba5_1_8,1
cordoba5_1_9,1
cordoba5_1_10,0
cordoba5_1_11,0
cordoba5_1_12,1
cordoba5_1_13,0
cordoba5_1_14,0
cordoba5_1_15,0
cordoba3_5_0,0
cordoba3_5_1,0
cordoba3_5_2,0
cordoba3_5_3,0
cordoba3_5_4,0
cordoba3_5_5,0.5
cordoba3_5_6,0
cordoba3_5_7,0
cordoba3_5_8,0
cordoba3_5_9,0
cordoba3_5_10,0
cordoba3_5_11,1
cordoba3_5_12,0
cordoba3_5_13,1
cordoba3_5_14,0
cordoba3_5_15,1
cordoba10_0_0,1
cordoba10_0_1,1
cordoba10_0_2,0
cordoba10_0_3,1
cordoba10_0_4,0
cordoba10_0_5,0.5
cordoba10_0_6,1
cordoba10_0_7,0
cordoba10_0_8,0.5
cordoba10_0_9,1
cordoba10_0_10,1
cordoba10_0_11,0.5
cordoba10_0_12,1
cordoba10_0_13,1
cordoba10_0_14,1
cordoba10_0_15,1
rosario17_6_0,0
rosario17_6_1,0.5
rosario17_6_2,0
rosario17_6_3,0.5
rosario17_6_4,0
rosario17_6_5,0
rosario17_6_6,1
rosario17_6_7,0
rosario17_6_8,1
rosario17_6_9,0.5
rosario17_6_10,0
rosario17_6_11,0
rosario17_6_12,0.5
rosario17_6_13,1
rosario17_6_14,0
rosario17_6_15,0
rosario19_6_0,1
rosario19_6_1,1
rosario19_6_2,1
rosario19_6_3,0
rosario19_6_4,1
rosario19_6_5,1
rosario19_6_6,0.5
rosario19_6_7,1
rosario19_6_8,0.5
rosario19_6_9,0
rosario19_6_10,0
rosario19_6_11,1
rosario19_6_12,0.5
rosario19_6_13,0
rosario19_6_14,1
rosario19_6_15,0
cordoba5_2_0,1
cordoba5_2_1,1
cordoba5_2_2,0
cordoba5_2_3,1
cordoba5_2_4,0
cordoba5_2_5,0
cordoba5_2_6,0
cordoba5_2_7,1
cordoba5_2_8,0
cordoba5_2_9,0
cordoba5_2_10,1
cordoba5_2_11,1
cordoba5_2_12,0
cordoba5_2_13,0
cordoba5_2_14,1
cordoba5_2_15,0
santafe13_5_0,0
santafe13_5_1,0
santafe13_5_2,0
santafe13_5_3,0
santafe13_5_4,0
santafe13_5_5,0
santafe13_5_6,1
santafe13_5_7,0
santafe13_5_8,0
santafe13_5_9,0
santafe13_5_10,1
santafe13_5_11,1
santafe13_5_12,0
santafe13_5_13,0
santafe13_5_14,0
santafe13_5_15,1
santafe13_6_0,0
santafe13_6_1,0.5
santafe13_6_2,0
santafe13_6_3,0
santafe13_6_4,1
santafe13_6_5,1
santafe13_6_6,1
santafe13_6_7,0
santafe13_6_8,0
santafe13_6_9,0
santafe13_6_10,0
santafe13_6_11,0
santafe13_6_12,0
santafe13_6_13,0
santafe13_6_14,0
santafe13_6_15,0
parana6_6_0,1
parana6_6_1,1
parana6_6_2,1
parana6_6_3,0.5
parana6_6_4,1
parana6_6_5,1
parana6_6_6,1
parana6_6_7,1
parana6_6_8,0
parana6_6_9,0
parana6_6_10,1
parana6_6_11,1
parana6_6_12,0.5
parana6_6_13,0
parana6_6_14,0
parana6_6_15,0
rosario24_5_0,0.5
rosario24_5_1,1
rosario24_5_2,0
rosario24_5_3,0
rosario24_5_4,1
rosario24_5_5,1
rosario24_5_6,1
rosario24_5_7,1
rosario24_5_8,1
rosario24_5_9,1
rosario24_5_10,0.5
rosario24_5_11,1
rosario24_5_12,1
rosario24_5_13,1
rosario24_5_14,1
rosario24_5_15,0
rosario9_5_0,1
rosario9_5_1,1
rosario9_5_2,1
rosario9_5_3,0.5
rosario9_5_4,1
rosario9_5_5,1
rosario9_5_6,0
rosario9_5_7,0
rosario9_5_8,1
rosario9_5_9,1
rosario9_5_10,0
rosario9_5_11,0
rosario9_5_12,1
rosario9_5_13,0.5
rosario9_5_14,1
rosario9_5_15,0.5
cordoba10_1_0,1
cordoba10_1_1,1
cordoba10_1_2,1
cordoba10_1_3,1
cordoba10_1_4,0.5
cordoba10_1_5,1
cordoba10_1_6,1
cordoba10_1_7,1
cordoba10_1_8,0
cordoba10_1_9,0
cordoba10_1_10,1
cordoba10_1_11,1
cordoba10_1_12,1
cordoba10_1_13,0
cordoba10_1_14,1
cordoba10_1_15,1
santafe6_4_0,1
santafe6_4_1,0
santafe6_4_2,0
santafe6_4_3,0
santafe6_4_4,1
santafe6_4_5,0
santafe6_4_6,0
santafe6_4_7,0
santafe6_4_8,1
santafe6_4_9,0
santafe6_4_10,0
santafe6_4_11,0
santafe6_4_12,1
santafe6_4_13,1
santafe6_4_14,0.5
santafe6_4_15,1
rosario19_8_0,0.5
rosario19_8_1,0.5
rosario19_8_2,1
rosario19_8_3,1
rosario19_8_4,0
rosario19_8_5,1
rosario19_8_6,1
rosario19_8_7,1
rosario19_8_8,0
rosario19_8_9,0
rosario19_8_10,1
rosario19_8_11,1
